timestamp,sitting,standing,eating,lying,anomaly_score,is_anomaly,behavior_raw,behavior_score,behavior_confident,behavior_label,behavior_smooth
0.0,0.19770749906698862,0.12440764158964157,0.284208208322525,0.39367660880088806,1.8244275255613178,False,lying,0.39367660880088806,True,lying,lying
1.0010000000000001,0.18407048657536507,0.12218351662158966,0.29974881559610367,0.3939971625804901,1.6220892613831606,False,lying,0.3939971625804901,True,lying,lying
2.0020000000000002,0.18694420158863068,0.12057366520166397,0.2917431235313416,0.40073899626731874,1.2266017922785142,False,lying,0.40073899626731874,True,lying,lying
3.003,0.18712768852710723,0.11487711817026139,0.27741932272911074,0.42057585120201113,0.934998528543038,False,lying,0.42057585120201113,True,lying,lying
4.0040000000000004,0.18518527448177338,0.11630527526140214,0.25632948279380796,0.4421799659729004,1.250589044690208,False,lying,0.4421799659729004,True,lying,lying
5.005,0.19356801807880403,0.11311919540166855,0.2563521444797516,0.43696064352989195,0.9777402707670169,False,lying,0.43696064352989195,True,lying,lying
6.006,0.21089999377727509,0.1099637895822525,0.23916985392570494,0.43996634483337405,1.4528765471056888,False,lying,0.43996634483337405,True,lying,lying
7.007000000000001,0.21085674464702606,0.1118193432688713,0.24174084067344664,0.43558305501937866,1.2435502116895736,False,lying,0.43558305501937866,True,lying,lying
8.008000000000001,0.2133716493844986,0.11589053645730019,0.24893324822187424,0.4218045547604561,1.2299289800197706,False,lying,0.4218045547604561,True,lying,lying
9.009,0.21488891541957855,0.11452951033910115,0.27349018057187396,0.3970913787682851,1.3550919077882555,False,lying,0.3970913787682851,True,lying,lying
