start_s,end_s,duration_s,label,frames
0.0,1.004172461752434,1.004172461752434,anomaly,2
2.008344923504868,4.016689847009736,2.008344923504868,running,3
5.02086230876217,5.02086230876217,0.0,anomaly,1
6.025034770514603,8.033379694019471,2.0083449235048683,running,3
9.037552155771905,9.037552155771905,0.0,standing,1
10.04172461752434,10.04172461752434,0.0,anomaly,1
11.045897079276772,12.050069541029206,1.0041724617524341,standing,2
13.05424200278164,14.058414464534074,1.0041724617524341,running,2
15.062586926286508,15.062586926286508,0.0,anomaly,1
16.066759388038943,17.070931849791375,1.0041724617524324,running,2
18.07510431154381,22.091794158553544,4.016689847009733,uncertain,5
23.09596662030598,25.104311543810848,2.0083449235048683,standing,3
26.10848400556328,29.12100139082058,3.0125173852573006,uncertain,4
30.125173852573017,30.125173852573017,0.0,running,1
31.12934631432545,36.15020862308762,5.020862308762172,standing,6
37.154381084840054,37.154381084840054,0.0,running,1
38.158553546592486,39.16272600834492,1.0041724617524324,uncertain,2
40.16689847009736,42.17524339360222,2.0083449235048647,standing,3
43.179415855354655,49.204450625869256,6.025034770514601,uncertain,7
50.208623087621696,75.31293463143254,25.104311543810844,standing,26
